reception_time;city_id;reference_time;sunset_time;sunrise_time;clouds;rain;snow;wind_speed;wind_deg;wind_gust;humidity;pressure_press;pressure_sea_level;temperature_temp_c;temperature_temp_kf;temperature_temp_max_c;temperature_temp_min_c;temperature_feels_like_c;status;detailed_status;weather_code;weather_icon_name;visibility_distance;dewpoint;humidex;heat_index;utc_offset;uvi;precipitation_probability;city_name;state;country_code;lon;lat
2023-06-29 08:24:59+00;472045;2023-06-29 08:24:40+00;2023-06-29 17:45:13+00;2023-06-29 01:07:53+00;100;"{""1h"": 1}";{};3;180;;94;1007;"";15.010004;;15.010004;14.980005;15.020014;Rain;light rain;500;10d;10000;"";"";"";10800;"";"";Voronezh;"";RU;39.17;51.66639
2023-06-29 08:52:24+00;472045;2023-06-29 08:50:12+00;2023-06-29 17:45:13+00;2023-06-29 01:07:53+00;100;{};{};2;200;;94;1007;"";15.010004;;15.010004;14.980005;15.020014;Clouds;overcast clouds;804;04d;10000;"";"";"";10800;"";"";Voronezh;"";RU;39.17;51.66639
2023-06-29 09:11:54+00;472045;2023-06-29 09:09:00+00;2023-06-29 17:45:13+00;2023-06-29 01:07:53+00;100;{};{};2;200;;94;1007;"";15.010004;;15.010004;14.980005;15.020014;Clouds;overcast clouds;804;04d;10000;"";"";"";10800;"";"";Voronezh;"";RU;39.17;51.66639
2023-06-29 10:51:58+00;472045;2023-06-29 10:51:03+00;2023-06-29 17:45:13+00;2023-06-29 01:07:53+00;0;{};{};4;160;;82;1005;"";18.010004;;18.010004;17.760004;18.010004;Clear;clear sky;800;01d;10000;"";"";"";10800;"";"";Voronezh;"";RU;39.17;51.66639
2023-06-29 11:07:58+00;472045;2023-06-29 11:05:03+00;2023-06-29 17:45:13+00;2023-06-29 01:07:53+00;0;{};{};4;160;;82;1005;"";18.010004;;18.010004;17.760004;18.010004;Clear;clear sky;800;01d;10000;"";"";"";10800;"";"";Voronezh;"";RU;39.17;51.66639
2023-06-29 11:20:08+00;472045;2023-06-29 11:20:05+00;2023-06-29 17:45:13+00;2023-06-29 01:07:53+00;0;{};{};4;180;;77;1005;"";18.010004;;18.010004;17.760004;17.88;Clear;clear sky;800;01d;10000;"";"";"";10800;"";"";Voronezh;"";RU;39.17;51.66639
2023-06-29 13:49:15+00;472045;2023-06-29 13:49:07+00;2023-06-29 17:45:13+00;2023-06-29 01:07:53+00;0;{};{};5;170;;72;1004;"";19.010004;;19.010004;18.86999;18.85;Clear;clear sky;800;01d;10000;"";"";"";10800;"";"";Voronezh;"";RU;39.17;51.66639
2023-06-30 07:18:35+00;472045;2023-06-30 07:14:43+00;2023-06-30 17:45:01+00;2023-06-30 01:08:28+00;75;{};{};4;260;;77;998;"";18.010004;;18.010004;17.760004;17.88;Clouds;broken clouds;803;04d;10000;"";"";"";10800;"";"";Voronezh;"";RU;39.17;51.66639
2023-06-30 07:56:36+00;472045;2023-06-30 07:54:19+00;2023-06-30 17:45:01+00;2023-06-30 01:08:28+00;75;{};{};4;280;;77;998;"";18.010004;;18.010004;17.760004;17.88;Clouds;broken clouds;803;04d;10000;"";"";"";10800;"";"";Voronezh;"";RU;39.17;51.66639
2023-06-30 11:48:21+00;472045;2023-06-30 11:43:22+00;2023-06-30 17:45:01+00;2023-06-30 01:08:28+00;0;{};{};3;250;;68;998;"";20.010004;;20.010004;19.980005;19.83999;Clear;clear sky;800;01d;10000;"";"";"";10800;"";"";Voronezh;"";RU;39.17;51.66639
